year,district,districtID,stream,subdistrict,fage,oage,prop
2015,Nushagak,325,100,Igushik Set,0,5,0
2015,Nushagak,325,100,Igushik Set,1,1,0
2015,Nushagak,325,100,Igushik Set,1,2,0.111662531
2015,Nushagak,325,100,Igushik Set,1,3,0.888337469
2015,Nushagak,325,100,Igushik Set,1,4,0
2015,Nushagak,325,100,Igushik Set,1,5,0
2015,Nushagak,325,100,Igushik Set,2,1,0
2015,Nushagak,325,100,Igushik Set,2,2,0
2015,Nushagak,325,100,Igushik Set,2,3,0
2015,Nushagak,325,100,Igushik Set,2,4,0
2015,Nushagak,325,100,Igushik Set,3,1,0
2015,Nushagak,325,100,Igushik Set,3,2,0
2015,Nushagak,325,100,Igushik Set,3,3,0
2016,NaknekKvichak,324,,Kvi Set,0,2,0
2016,NaknekKvichak,324,,Kvi Set,0,3,0
2016,NaknekKvichak,324,,Kvi Set,0,4,0
2016,NaknekKvichak,324,,Kvi Set,0,5,0
2016,NaknekKvichak,324,,Kvi Set,1,1,0.000993253
2016,NaknekKvichak,324,,Kvi Set,1,2,0.417072743
2016,NaknekKvichak,324,,Kvi Set,1,3,0.243385162
2016,NaknekKvichak,324,,Kvi Set,1,4,0
2016,NaknekKvichak,324,,Kvi Set,1,5,0
2016,NaknekKvichak,324,,Kvi Set,2,1,0
2016,NaknekKvichak,324,,Kvi Set,2,2,0.219256778
2016,NaknekKvichak,324,,Kvi Set,2,3,0.118357623
2016,NaknekKvichak,324,,Kvi Set,2,4,0
2016,NaknekKvichak,324,,Kvi Set,3,1,0
2016,NaknekKvichak,324,,Kvi Set,3,2,0
2016,NaknekKvichak,324,,Kvi Set,3,3,0
2016,Nushagak,325,100,Igushik Set,0,2,0
2016,Nushagak,325,100,Igushik Set,0,3,0.001831941
2016,Nushagak,325,100,Igushik Set,0,4,0
2016,Nushagak,325,100,Igushik Set,0,5,0
2016,Nushagak,325,100,Igushik Set,1,1,0
2016,Nushagak,325,100,Igushik Set,1,2,0.062270562
2016,Nushagak,325,100,Igushik Set,1,3,0.917582835
2016,Nushagak,325,100,Igushik Set,1,4,0
2016,Nushagak,325,100,Igushik Set,1,5,0
2016,Nushagak,325,100,Igushik Set,2,1,0
2016,Nushagak,325,100,Igushik Set,2,2,0.003662695
2016,Nushagak,325,100,Igushik Set,2,3,0.014651967
2016,Nushagak,325,100,Igushik Set,2,4,0
2016,Nushagak,325,100,Igushik Set,3,1,0
2016,Nushagak,325,100,Igushik Set,3,2,0
2016,Nushagak,325,100,Igushik Set,3,3,0
2017,NaknekKvichak,324,,Kvi Set,0,2,0
2017,NaknekKvichak,324,,Kvi Set,0,3,0
2017,NaknekKvichak,324,,Kvi Set,0,4,0
2017,NaknekKvichak,324,,Kvi Set,0,5,0
2017,NaknekKvichak,324,,Kvi Set,1,1,0.000557338
2017,NaknekKvichak,324,,Kvi Set,1,2,0.469197908
2017,NaknekKvichak,324,,Kvi Set,1,3,0.399768744
2017,NaknekKvichak,324,,Kvi Set,1,4,0
2017,NaknekKvichak,324,,Kvi Set,1,5,0
2017,NaknekKvichak,324,,Kvi Set,2,1,0
2017,NaknekKvichak,324,,Kvi Set,2,2,0.057100974
2017,NaknekKvichak,324,,Kvi Set,2,3,0.073374069
2017,NaknekKvichak,324,,Kvi Set,2,4,0
2017,NaknekKvichak,324,,Kvi Set,3,1,0
2017,NaknekKvichak,324,,Kvi Set,3,2,0
2017,NaknekKvichak,324,,Kvi Set,3,3,0
2017,Nushagak,325,100,Igushik Set,0,2,0
2017,Nushagak,325,100,Igushik Set,0,3,0
2017,Nushagak,325,100,Igushik Set,0,4,0
2017,Nushagak,325,100,Igushik Set,0,5,0
2017,Nushagak,325,100,Igushik Set,1,1,0.001987422
2017,Nushagak,325,100,Igushik Set,1,2,0.590476376
2017,Nushagak,325,100,Igushik Set,1,3,0.396686476
2017,Nushagak,325,100,Igushik Set,1,4,0.00427977
2017,Nushagak,325,100,Igushik Set,1,5,0
2017,Nushagak,325,100,Igushik Set,2,1,0
2017,Nushagak,325,100,Igushik Set,2,2,0.002595111
2017,Nushagak,325,100,Igushik Set,2,3,0.003974845
2017,Nushagak,325,100,Igushik Set,2,4,0
2017,Nushagak,325,100,Igushik Set,3,1,0
2017,Nushagak,325,100,Igushik Set,3,2,0
2017,Nushagak,325,100,Igushik Set,3,3,0
2017,Nushagak,325,300,WRSHA,0,2,0
2017,Nushagak,325,300,WRSHA,0,3,0
2017,Nushagak,325,300,WRSHA,0,4,0
2017,Nushagak,325,300,WRSHA,0,5,0
2017,Nushagak,325,300,WRSHA,1,1,0
2017,Nushagak,325,300,WRSHA,1,2,0.856448427
2017,Nushagak,325,300,WRSHA,1,3,0.136253734
2017,Nushagak,325,300,WRSHA,1,4,0.002432613
2017,Nushagak,325,300,WRSHA,1,5,0
2017,Nushagak,325,300,WRSHA,2,1,0
2017,Nushagak,325,300,WRSHA,2,2,0.002432613
2017,Nushagak,325,300,WRSHA,2,3,0.002432613
2017,Nushagak,325,300,WRSHA,2,4,0
2017,Nushagak,325,300,WRSHA,3,1,0
2017,Nushagak,325,300,WRSHA,3,2,0
2017,Nushagak,325,300,WRSHA,3,3,0
2018,NaknekKvichak,324,,Kvi Set,0,2,0
2018,NaknekKvichak,324,,Kvi Set,0,3,0
2018,NaknekKvichak,324,,Kvi Set,0,4,0
2018,NaknekKvichak,324,,Kvi Set,0,5,0
2018,NaknekKvichak,324,,Kvi Set,1,1,0
2018,NaknekKvichak,324,,Kvi Set,1,2,0.506570371
2018,NaknekKvichak,324,,Kvi Set,1,3,0.457369369
2018,NaknekKvichak,324,,Kvi Set,1,4,0.004072584
2018,NaknekKvichak,324,,Kvi Set,1,5,0
2018,NaknekKvichak,324,,Kvi Set,2,1,0
2018,NaknekKvichak,324,,Kvi Set,2,2,0.009821251
2018,NaknekKvichak,324,,Kvi Set,2,3,0.021369225
2018,NaknekKvichak,324,,Kvi Set,2,4,0.000798834
2018,NaknekKvichak,324,,Kvi Set,3,1,0
2018,NaknekKvichak,324,,Kvi Set,3,2,0
2018,NaknekKvichak,324,,Kvi Set,3,3,0
2018,NaknekKvichak,324,,Nak Set,0,2,0
2018,NaknekKvichak,324,,Nak Set,0,3,0
2018,NaknekKvichak,324,,Nak Set,0,4,0
2018,NaknekKvichak,324,,Nak Set,0,5,0
2018,NaknekKvichak,324,,Nak Set,1,1,0.0025
2018,NaknekKvichak,324,,Nak Set,1,2,0.478705189
2018,NaknekKvichak,324,,Nak Set,1,3,0.389975236
2018,NaknekKvichak,324,,Nak Set,1,4,0
2018,NaknekKvichak,324,,Nak Set,1,5,0
2018,NaknekKvichak,324,,Nak Set,2,1,0
2018,NaknekKvichak,324,,Nak Set,2,2,0.052370283
2018,NaknekKvichak,324,,Nak Set,2,3,0.074891509
2018,NaknekKvichak,324,,Nak Set,2,4,0
2018,NaknekKvichak,324,,Nak Set,3,1,0
2018,NaknekKvichak,324,,Nak Set,3,2,0
2018,NaknekKvichak,324,,Nak Set,3,3,0.001556604
2018,NaknekKvichak,324,,NRSHA,0,2,0
2018,NaknekKvichak,324,,NRSHA,0,3,0
2018,NaknekKvichak,324,,NRSHA,0,4,0
2018,NaknekKvichak,324,,NRSHA,0,5,0
2018,NaknekKvichak,324,,NRSHA,1,1,0.000350594
2018,NaknekKvichak,324,,NRSHA,1,2,0.210868528
2018,NaknekKvichak,324,,NRSHA,1,3,0.691719948
2018,NaknekKvichak,324,,NRSHA,1,4,0.001401116
2018,NaknekKvichak,324,,NRSHA,1,5,0
2018,NaknekKvichak,324,,NRSHA,2,1,0.000350594
2018,NaknekKvichak,324,,NRSHA,2,2,0.028046231
2018,NaknekKvichak,324,,NRSHA,2,3,0.065929854
2018,NaknekKvichak,324,,NRSHA,2,4,0.001332508
2018,NaknekKvichak,324,,NRSHA,3,1,0
2018,NaknekKvichak,324,,NRSHA,3,2,0
2018,NaknekKvichak,324,,NRSHA,3,3,0
2018,Nushagak,325,100,Igushik Set,0,2,0
2018,Nushagak,325,100,Igushik Set,0,3,0
2018,Nushagak,325,100,Igushik Set,0,4,0
2018,Nushagak,325,100,Igushik Set,0,5,0
2018,Nushagak,325,100,Igushik Set,1,1,0
2018,Nushagak,325,100,Igushik Set,1,2,0.221774187
2018,Nushagak,325,100,Igushik Set,1,3,0.778225813
2018,Nushagak,325,100,Igushik Set,1,4,0
2018,Nushagak,325,100,Igushik Set,1,5,0
2018,Nushagak,325,100,Igushik Set,2,1,0
2018,Nushagak,325,100,Igushik Set,2,2,0
2018,Nushagak,325,100,Igushik Set,2,3,0
2018,Nushagak,325,100,Igushik Set,2,4,0
2018,Nushagak,325,100,Igushik Set,3,1,0
2018,Nushagak,325,100,Igushik Set,3,2,0
2018,Nushagak,325,100,Igushik Set,3,3,0
2018,Nushagak,325,300,WRSHA,0,2,0
2018,Nushagak,325,300,WRSHA,0,3,0
2018,Nushagak,325,300,WRSHA,0,4,0
2018,Nushagak,325,300,WRSHA,0,5,0
2018,Nushagak,325,300,WRSHA,1,1,0
2018,Nushagak,325,300,WRSHA,1,2,0.784883399
2018,Nushagak,325,300,WRSHA,1,3,0.209302161
2018,Nushagak,325,300,WRSHA,1,4,0
2018,Nushagak,325,300,WRSHA,1,5,0
2018,Nushagak,325,300,WRSHA,2,1,0
2018,Nushagak,325,300,WRSHA,2,2,0.00581444
2018,Nushagak,325,300,WRSHA,2,3,0
2018,Nushagak,325,300,WRSHA,2,4,0
2018,Nushagak,325,300,WRSHA,3,1,0
2018,Nushagak,325,300,WRSHA,3,2,0
2018,Nushagak,325,300,WRSHA,3,3,0
2019,NaknekKvichak,324,,Kvi Set,0,2,0
2019,NaknekKvichak,324,,Kvi Set,0,3,0
2019,NaknekKvichak,324,,Kvi Set,0,4,0
2019,NaknekKvichak,324,,Kvi Set,0,5,0
2019,NaknekKvichak,324,,Kvi Set,1,1,0
2019,NaknekKvichak,324,,Kvi Set,1,2,0.609396
2019,NaknekKvichak,324,,Kvi Set,1,3,0.355705
2019,NaknekKvichak,324,,Kvi Set,1,4,0.001342
2019,NaknekKvichak,324,,Kvi Set,1,5,0
2019,NaknekKvichak,324,,Kvi Set,2,1,0
2019,NaknekKvichak,324,,Kvi Set,2,2,0.026845
2019,NaknekKvichak,324,,Kvi Set,2,3,0.006711
2019,NaknekKvichak,324,,Kvi Set,2,4,0
2019,NaknekKvichak,324,,Kvi Set,3,1,0
2019,NaknekKvichak,324,,Kvi Set,3,2,0
2019,NaknekKvichak,324,,Kvi Set,3,3,0
2019,NaknekKvichak,324,,Nak Set,0,2,0
2019,NaknekKvichak,324,,Nak Set,0,3,0
2019,NaknekKvichak,324,,Nak Set,0,4,0
2019,NaknekKvichak,324,,Nak Set,0,5,0
2019,NaknekKvichak,324,,Nak Set,1,1,0
2019,NaknekKvichak,324,,Nak Set,1,2,0.596636
2019,NaknekKvichak,324,,Nak Set,1,3,0.365099
2019,NaknekKvichak,324,,Nak Set,1,4,0.002252
2019,NaknekKvichak,324,,Nak Set,1,5,0
2019,NaknekKvichak,324,,Nak Set,2,1,0
2019,NaknekKvichak,324,,Nak Set,2,2,0.025005
2019,NaknekKvichak,324,,Nak Set,2,3,0.010899
2019,NaknekKvichak,324,,Nak Set,2,4,0
2019,NaknekKvichak,324,,Nak Set,3,1,0
2019,NaknekKvichak,324,,Nak Set,3,2,0
2019,NaknekKvichak,324,,Nak Set,3,3,0
2019,NaknekKvichak,324,,NRSHA,0,2,0
2019,NaknekKvichak,324,,NRSHA,0,3,0
2019,NaknekKvichak,324,,NRSHA,0,4,0
2019,NaknekKvichak,324,,NRSHA,0,5,0
2019,NaknekKvichak,324,,NRSHA,1,1,0
2019,NaknekKvichak,324,,NRSHA,1,2,0.429264
2019,NaknekKvichak,324,,NRSHA,1,3,0.50244
2019,NaknekKvichak,324,,NRSHA,1,4,0
2019,NaknekKvichak,324,,NRSHA,1,5,0
2019,NaknekKvichak,324,,NRSHA,2,1,0
2019,NaknekKvichak,324,,NRSHA,2,2,0.043901
2019,NaknekKvichak,324,,NRSHA,2,3,0.024395
2019,NaknekKvichak,324,,NRSHA,2,4,0
2019,NaknekKvichak,324,,NRSHA,3,1,0
2019,NaknekKvichak,324,,NRSHA,3,2,0
2019,NaknekKvichak,324,,NRSHA,3,3,0
2019,Nushagak,325,100,Igushik Set,0,2,0
2019,Nushagak,325,100,Igushik Set,0,3,0
2019,Nushagak,325,100,Igushik Set,0,4,0
2019,Nushagak,325,100,Igushik Set,0,5,0
2019,Nushagak,325,100,Igushik Set,1,1,0
2019,Nushagak,325,100,Igushik Set,1,2,0.170033
2019,Nushagak,325,100,Igushik Set,1,3,0.805565
2019,Nushagak,325,100,Igushik Set,1,4,0.002639
2019,Nushagak,325,100,Igushik Set,1,5,0
2019,Nushagak,325,100,Igushik Set,2,1,0
2019,Nushagak,325,100,Igushik Set,2,2,0.013502
2019,Nushagak,325,100,Igushik Set,2,3,0.008262
2019,Nushagak,325,100,Igushik Set,2,4,0
2019,Nushagak,325,100,Igushik Set,3,1,0
2019,Nushagak,325,100,Igushik Set,3,2,0
2019,Nushagak,325,100,Igushik Set,3,3,0
2019,Nushagak,325,300,WRSHA,0,2,0
2019,Nushagak,325,300,WRSHA,0,3,0
2019,Nushagak,325,300,WRSHA,0,4,0
2019,Nushagak,325,300,WRSHA,0,5,0
2019,Nushagak,325,300,WRSHA,1,1,0.030228
2019,Nushagak,325,300,WRSHA,1,2,0.821971
2019,Nushagak,325,300,WRSHA,1,3,0.110391
2019,Nushagak,325,300,WRSHA,1,4,0
2019,Nushagak,325,300,WRSHA,1,5,0
2019,Nushagak,325,300,WRSHA,2,1,0.001659
2019,Nushagak,325,300,WRSHA,2,2,0.034277
2019,Nushagak,325,300,WRSHA,2,3,0.001474
2019,Nushagak,325,300,WRSHA,2,4,0
2019,Nushagak,325,300,WRSHA,3,1,0
2019,Nushagak,325,300,WRSHA,3,2,0
2019,Nushagak,325,300,WRSHA,3,3,0
2020,NaknekKvichak,324,,Kvi Set,0,2,0
2020,NaknekKvichak,324,,Kvi Set,0,3,0
2020,NaknekKvichak,324,,Kvi Set,0,4,0
2020,NaknekKvichak,324,,Kvi Set,0,5,0
2020,NaknekKvichak,324,,Kvi Set,1,1,0
2020,NaknekKvichak,324,,Kvi Set,1,2,0.27568
2020,NaknekKvichak,324,,Kvi Set,1,3,0.71351
2020,NaknekKvichak,324,,Kvi Set,1,4,0
2020,NaknekKvichak,324,,Kvi Set,1,5,0
2020,NaknekKvichak,324,,Kvi Set,2,1,0
2020,NaknekKvichak,324,,Kvi Set,2,2,0.00811
2020,NaknekKvichak,324,,Kvi Set,2,3,0.0027
2020,NaknekKvichak,324,,Kvi Set,2,4,0
2020,NaknekKvichak,324,,Kvi Set,3,1,0
2020,NaknekKvichak,324,,Kvi Set,3,2,0
2020,NaknekKvichak,324,,Kvi Set,3,3,0
2020,NaknekKvichak,324,,Nak Set,0,2,0
2020,NaknekKvichak,324,,Nak Set,0,3,0
2020,NaknekKvichak,324,,Nak Set,0,4,0
2020,NaknekKvichak,324,,Nak Set,0,5,0
2020,NaknekKvichak,324,,Nak Set,1,1,0.0013
2020,NaknekKvichak,324,,Nak Set,1,2,0.2267
2020,NaknekKvichak,324,,Nak Set,1,3,0.7493
2020,NaknekKvichak,324,,Nak Set,1,4,0
2020,NaknekKvichak,324,,Nak Set,1,5,0
2020,NaknekKvichak,324,,Nak Set,2,1,0
2020,NaknekKvichak,324,,Nak Set,2,2,0.0187
2020,NaknekKvichak,324,,Nak Set,2,3,0.004
2020,NaknekKvichak,324,,Nak Set,2,4,0
2020,NaknekKvichak,324,,Nak Set,3,1,0
2020,NaknekKvichak,324,,Nak Set,3,2,0
2020,NaknekKvichak,324,,Nak Set,3,3,0
2020,Nushagak,325,100,Igushik Set,0,2,0
2020,Nushagak,325,100,Igushik Set,0,3,0
2020,Nushagak,325,100,Igushik Set,0,4,0
2020,Nushagak,325,100,Igushik Set,0,5,0
2020,Nushagak,325,100,Igushik Set,1,1,0.002748483
2020,Nushagak,325,100,Igushik Set,1,2,0.553627843
2020,Nushagak,325,100,Igushik Set,1,3,0.435381313
2020,Nushagak,325,100,Igushik Set,1,4,0
2020,Nushagak,325,100,Igushik Set,1,5,0
2020,Nushagak,325,100,Igushik Set,2,1,0
2020,Nushagak,325,100,Igushik Set,2,2,0.008242361
2020,Nushagak,325,100,Igushik Set,2,3,0
2020,Nushagak,325,100,Igushik Set,2,4,0
2020,Nushagak,325,100,Igushik Set,3,1,0
2020,Nushagak,325,100,Igushik Set,3,2,0
2020,Nushagak,325,100,Igushik Set,3,3,0
2020,Nushagak,325,300,WRSHA,0,2,0
2020,Nushagak,325,300,WRSHA,0,3,0
2020,Nushagak,325,300,WRSHA,0,4,0
2020,Nushagak,325,300,WRSHA,0,5,0
2020,Nushagak,325,300,WRSHA,1,1,0
2020,Nushagak,325,300,WRSHA,1,2,0.7051
2020,Nushagak,325,300,WRSHA,1,3,0.2719
2020,Nushagak,325,300,WRSHA,1,4,0.0046
2020,Nushagak,325,300,WRSHA,1,5,0
2020,Nushagak,325,300,WRSHA,2,1,0
2020,Nushagak,325,300,WRSHA,2,2,0.0184
2020,Nushagak,325,300,WRSHA,2,3,0
2020,Nushagak,325,300,WRSHA,2,4,0
2020,Nushagak,325,300,WRSHA,3,1,0
2020,Nushagak,325,300,WRSHA,3,2,0
2020,Nushagak,325,300,WRSHA,3,3,0
